Time,Wf,T40
0,0.25,1000.0
1,0.25,1000.0
2,0.25,1000.0
3,0.25,1000.0
4,0.25,1000.0
5,0.258125,1012.5
6,0.26625,1025.0
7,0.274375,1037.5
8,0.2825,1050.0
9,0.290625,1062.5
10,0.29875,1075.0
11,0.306875,1087.5
12,0.315,1100.0
13,0.323125,1112.5
14,0.33125,1125.0
15,0.339375,1137.5
16,0.34750000000000003,1150.0
17,0.35562499999999997,1162.5
18,0.36375,1175.0
19,0.371875,1187.5
20,0.38,1200.0
21,0.38,1200.0
22,0.38,1200.0
23,0.38,1200.0
24,0.38,1200.0
25,0.38,1200.0
26,0.38,1200.0
27,0.38,1200.0
28,0.38,1200.0
29,0.38,1200.0
30,0.38,1200.0
31,0.38,1200.0
32,0.38,1200.0
33,0.38,1200.0
34,0.38,1200.0
35,0.38,1200.0
36,0.38,1200.0
37,0.38,1200.0
38,0.38,1200.0
39,0.38,1200.0
40,0.38,1200.0
41,0.38,1200.0
42,0.38,1200.0
43,0.38,1200.0
44,0.38,1200.0
45,0.38,1200.0
46,0.38,1200.0
47,0.38,1200.0
48,0.38,1200.0
49,0.38,1200.0
50,0.38,1200.0
51,0.38,1200.0
52,0.38,1200.0
53,0.38,1200.0
54,0.38,1200.0
55,0.38,1200.0
56,0.38,1200.0
57,0.38,1200.0
58,0.38,1200.0
59,0.38,1200.0
60,0.38,1200.0
61,0.38,1200.0
62,0.38,1200.0
63,0.38,1200.0
64,0.38,1200.0
65,0.38,1200.0
66,0.38,1200.0
67,0.38,1200.0
68,0.38,1200.0
69,0.38,1200.0
70,0.38,1200.0
71,0.38,1200.0
72,0.38,1200.0
73,0.38,1200.0
74,0.38,1200.0
75,0.38,1200.0
76,0.38,1200.0
77,0.38,1200.0
78,0.38,1200.0
79,0.38,1200.0
80,0.38,1200.0
81,0.38,1200.0
82,0.38,1200.0
83,0.38,1200.0
84,0.38,1200.0
85,0.38,1200.0
86,0.38,1200.0
87,0.38,1200.0
88,0.38,1200.0
89,0.38,1200.0
90,0.38,1200.0
91,0.38,1200.0
92,0.38,1200.0
93,0.38,1200.0
94,0.38,1200.0
95,0.38,1200.0
96,0.38,1200.0
97,0.38,1200.0
98,0.38,1200.0
99,0.38,1200.0
100,0.38,1200.0
101,0.38,1200.0
102,0.38,1200.0
103,0.38,1200.0
104,0.38,1200.0
105,0.38,1200.0
106,0.38,1200.0
107,0.38,1200.0
108,0.38,1200.0
109,0.38,1200.0
110,0.38,1200.0
111,0.38,1200.0
112,0.38,1200.0
113,0.38,1200.0
114,0.38,1200.0
115,0.38,1200.0
116,0.38,1200.0
117,0.38,1200.0
118,0.38,1200.0
119,0.38,1200.0
120,0.38,1200.0
